tokens,IOB_tag
"['in', 'case', 'where', 'there', 'to', 'be', 'to', 'be']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Emergency', '.', 'manually', 'number', 'functional', 'or', 'telephone', 'call', ':', '(', 'M', 'activation']","[0, 0, 0, 4, 3, 0, 1, 1, 0, 0, 0, 0]"
"['(', 'directly', 'mean', 'be', 'may', 'Unit', 'Interface', 'Train', 'a', ',', 'necessary', 'where', ')', 'o']","[0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0]"
"['the', 'system', 'should', 'client', 'the', 'on', 'requirement', 'minimal', 'impose', 'must', 'and', 'system', 'base', '-', 'browser', 'through', 'access', 'for', 'design', 'be', 'the', 'of', '""', 'Investigation', 'then', 'base', 'on', 'the', 'evidence', ',', 'fact', 'and', 'and', 'investigation', ',', 'police', 'shall', 'take', 'the', 'complaint', 'follow', 'police', 'with', 'complaint', 'edge', 'and', 'ease', 'the', 'day', 'to', 'day', 'operation', 'of', 'the', 'police', 'function', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 3, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['the', '.', '2x', 'of', 'side', 'a', 'with', 'block', 'square', 'one', 'be']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"['the', 'system', 'should', 'provide', 'information', 'in', 'the', 'form', 'report', 'to', 'confuse', 'the', 'of', 'displaying', 'not', 'need', 'intervention', 'from', 'outside', 'user', 'other', 'than', 'the', 'supervisor', 'to', 'maintain', 'operation', 'of', 'themas', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"['they', 'range', 'greatly', 'Telescopes', 'm', '8', 'Gemini', 'the', 'at', 'astronomer', 'staff', 'as', 'such', 'can', 'user', 'very', 'to', 'system', 'the', 'of', 'user', 'occasional', 'from', 'experience', 'in', 'experienced', 'decision', 'these', 'and', 'available', 'make', 'be', 'will', 'feature', 'all', 'that', 'mean', 'not', 'do', 'to', 'it', ',', 'requirement', 'possible', 'all', 'fulfill', 'must', 'operation', 'of', 'term', 'in', 'but', 'and', 'all', 'at', 'remotely', 'and', 'locally', 'both', 'need', 'operational', 'the', 'to', 'adapt', 'be', 'user', 'to', 'will', 'capability', 'available']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"['these', 'control', 'command', 'be', 'present', 'in', 'the', 'Gemini', 'Software', 'Design', 'Description', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['be', '.', 'no', 'interaction', 'with', 'the', 'observer', ';', 'Interactive', 'operation', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"['the', 'plan', 'be', 'TBD', '.']","[0, 0, 0, 0, 0]"
"['at', '.', 'activity', 'calibration', 'be', 'installation', 'diagnostic', 'full', 'include', ',', 'subsystem', 'of', 'deinstallation', '/', 'installation', 'for', 'and', 'program', 'which', 'request', 'line', 'software', 'and', 'the', 'development', 'environment', ';', 'on', '-', '-', 'version', 'control', 'must', 'be', 'implement', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['datum', 'be', 'take', 'be', 'responsible', 'for', 'control', 'of', 'all', 'of', 'the', 'it', 'telescope', 'enclosure', 'subsystem', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
"['the', 'datum', 'service', 'change', 'service', 'of', 'capability', 'of', 'the', 'network', 'management', 'or', 'DBMS', ';', 'End', 'User', 'Mode', ':', 'Portion', 'of', 'XS', 'service', 'shall', 'by', 'be', 'identify', 'communication', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Input', 'datum', 'be', 'all', 'datum', 'that', 'be', 'predeﬁne', '.', 'at', 'start', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['example', 'of', 'object', 'be', 'record']","[0, 0, 0, 0, 0]"
"['each', 'of', 'the', 'component', '.', 'contain', 'service', 'as', 'define', 'by', 'Service', 'Definition', '.']","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"['the', 'new', '[', 'system', 'name', ']', 'system', 'would', 'be', 'document', 'in', 'this', 'FRS', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['the', 'XS', 'function', 'shall', 'provide', 'standard', 'api', 'as', 'specify', 'in', 'Appendix', 'C.', 'XS', 'API', 'Registry', 'submit', 'provide', '3']","[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
"['also', '.', 'feature', 'and', 'functionality', 'product', 'the', 'of', 'overview', 'an', 'give', 'will', 'Description', 'Overall', 'document']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['example', '.', 'datum', 'aggregate', 'to', 'able', 'be', 'must', 'OM', 'support']","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
"['go', '.', 'B4', 'B5', 'address', 'email', 'register', 'to', 'email', 'send']","[0, 0, 0, 0, 4, 4, 3, 0, 0, 0]"
"['they', 'be', 'the', 'integrity', 'rule', 'that', 'protect', 'the', 'datum', 'in', 'the', 'eventual', 'database', 'derivation', 'that', '.', 'example', 'from', 'the', 'current', 'date', ';', 'Commit', '/', 'Rollback', ':', 'an', 'individual', 'transaction', 'be', 'process', '(', 'commit', ')', 'date']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['operational', 'Parameters', 'Temperature', 'Data', 'two', 'type', 'of', 'temperature', 'datum', 'shall', 'be', 'recognize', 'from', 'module', 'the', ':', '1', ')', 'the', 'temperature', 'setting', 'and', '2', ')', 'the', 'current', 'temperature', '.', 'thermostat', '.', 'temperature', 'be', 'themas', 'system', 'shall', 'identify', 'the', 'current', 'temperature', 'value', 'as', 'an', 'invalid', 'temperature', 'and', 'the', 'shall', 'an', 'invalid', 'temperature', 'status', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 3, 4, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]"
"['for', 'well', 'reporting', 'purpose', 'have', 'Distributor', 'the', 'of', 'table', 'in', 'order', 'to', 'update', 'as', 'per', 'the', 'program', 'requirement', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['the', 'logic', 'access', '-', 'data', 'the', 'from', 'separate', 'again', 'be']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['therefore', ',', 'we', 'urge', 'submitter', 'to', 'include', 'enough', 'expressive', 'term', 'so', 'number', ',', 'a', 'search', 'Registry', 'will', 'not', 'have', 'keyword', ',', 'thesaurus', ',', 'or', 'ontology', 'support', 'but', 'it', 'will', 'have', 'a', 'substre', 'for', 'COE', 'the', 'attribute', 'attribute', ')', 'for', 'the', 'entity', 'CTRY', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"['(', 'M', ')', 'all', 'EIRENE', 'mobile', 'equipment', 'shall', 'be', 'protect', 'against', 'shock', 'will', 'condition', 'environmental', 'above', 'operation', 'of', 'a', 'mobile', 'radio', 'unit', ',', 'in', 'it', 'be', 'expect', 'that', 'a', 'combination', 'of', 'the', 'shall', 'infrequent', 'cause', 'Operationally', 'reference', 'to', 'sea', 'level', '.']","[0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['the', 'character', 'set', 'train', 'alert', 'fix', 'message', 'inhibition', 'of', 'the', 'follow', 'different', 'type', 'the', 'of', ':', 'regenerative', 'brake', ';', 'Eddy', 'current', 'brake', 'regard', 'information', 'send', 'shall', 'be', 'provide', 'in', 'the', 'language', 'select', 'by', 'the', 'driver']","[0, 1, 2, 1, 0, 1, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1]"
"['wherever', 'for', 'requirement', 'a', 'be', 'WAN', 'be', 'deﬁne', 'in', 'the', 'Electronic', 'Design', 'Speciﬁcation', 'and', 'show', 'in', 'Figure', '4', '-', '1', ',', 'above', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['design', '(', 'model', 'datum', 'to', 'term', 'for', 'the', 'maintenance', 'and', 'control', 'of', 'xml', 'tag', ';', 'Review', '/', 'approve', 'submission', ';', 'monitor', 'change', 'the', 'schema', 'for', 'an', ';', 'Validate', ';', 'use', 'and', 'reference', 'exist', 'tag', 'and', 'associate', 'semantic', 'structure', '.']","[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 4, 0]"
"['(', 'M', ')', 'EIRENE', 'mobile', 'equipment', 'shall', 'be', 'capable', 'of', 'be', 'to', 'c', '°', '-20', ')', 'EIRENE', 'mobile', 'equipment', 'shall', 'be', 'capable', 'store', 'of', 'over', 'a', 'standard', 'range', 'of', 'temperature', 'from', 'operate', 'M', '(', 'without', 'shall', 'be', 'capable', 'of', 'cope', 'with', 'temperature', 'variation', 'of', 'up', 'to', '+', '/-', '1', '°', 'equipment', 'the', ')', 'M', 'be', 'operational', ')', 'at', 'temperature', 'down', 'to', 'ie', '-40', 'c', 'without', 'any', 'permanent', 'damage', '.']","[0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['bi', '.', 'datum', 'the', 'transport', 'for', 'requirement', 'the', 'not', ';', 'support', 'must', 'OM', 'that', 'exchange', 'datum', 'of', 'the', 'and', 'Components', '""', 'able', 'be', 'must', 'OM', 'support']","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['this', 'be', 'the', 'normal', 'mode', 'catalog', 'of', '.']","[0, 0, 0, 0, 3, 0, 4, 0]"
"['.There', 'be', 'different', 'requirement', 'for', 'software', 'run', 'on', 'different', 'layer', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['order', 'cart', 'the', 'from', 'product', 'remove', 'or', 'to', 'add', 'shopping', 'confirmation', 'will', 'allow', 'priority', 'medium', 'a', 'be']","[1, 2, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
"['violation', '.', 'include', 'remote', 'observe', ',', 'must', 'take', 'place', 'on', 'resource', 'control', 'by', 'the', 'project', '(', 'such', 'as', 'lease', 'line', ')', 'must', 'be', 'limit', 'and', 'bypass', 'the', 'hierarchy', '(', 'connect', 'between', 'grandmother', 'and', 'granddaughter', 'with', 'no', 'path', 'through', 'the', 'mother', ')', 'should', 'only', 'be', ';', 'or', 'problem', 'demonstrate', 'constrain', 'by', 'the', 'follow', 'guideline', ':', 'peer', '-', 'to', '-', 'peer', 'connectivity', 'should', 'only', 'be', 'use', 'to', 'overcome', 'a', 'performance', 'capability', 'and', 'performance', 'independently', 'of', 'all', 'the', 'rest', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['other', 'the', 'Gemini', 'architecture', 'as', 'the', 'bulk', 'of', 'the', 'control', 'system', 'intelligence', 'be', 'contain', 'within', 'OPI', 'CA', 'client', 'task', '.', 'item', 'the', 'ID', 'be', ')', 'to', 'enter', 'simulation', 'mode', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
"['section', '3', 'give', 'the', 'specific', 'requirement', 'of', 'the', 'product', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['all', 'system', 'be', 'appropriately', 'interlocked', '.']","[0, 1, 0, 0, 0, 0]"
"['this', '.', 'level', '.']","[0, 0, 0, 0]"
"['the', 'xx', '.', 'error', 'xxx', 'the', 'to', 'direct', 'be', 'user', 'page', 'SQL', 'code', 'that', 'between', 'Tuesdays', 'on', 'only', 'environment', 'production', 'the', 'to', 'update', 'schedule', 'shall', 'Team', 'Project']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 2, 1]"
"['the', '.', 'all', 'each', 'of', 'establishment', '.']","[0, 0, 0, 0, 0, 1, 0]"
"['if', '.', 'note', 'relevant', 'any', 'and', ',', 'interpretation', 'overall', ',', 'value', 'result', 'for', 'measure', 'of', 'unit', 'as', 'datum', '/', ',', '(', 'test', ',', 'ID', 'Subject', ',', 'ID', 'Specimen', 'the', 'include', 'datum', 'this', 'of']","[0, 0, 3, 0, 0, 0, 0, 4, 3, 0, 4, 3, 0, 4, 4, 3, 0, 3, 2, 0, 0, 3, 0, 4, 3, 0, 4, 3, 0, 0, 3, 0, 0]"
"['the', '.', 'training', 'will', 'be', ':', 'design', 'for', 'minimum', 'risk', ';', 'incorporate', 'safety', 'device', ';', 'provide', 'warning', 'device', ';', 'develop', 'procedure', 'and', 'safety', 'interlock', 'passively', 'be', 'by', 'unauthorized', 'user', ',', 'or', 'user', 'at', 'unauthorized', 'system', 'access', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 1, 0, 0, 1, 3, 0]"
"['this', 'link', '.', 'reside', 'office', 'facility', 'Mauna', 'facility', 'the', 'be']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
"['operational', 'this', 'process', 'shall', 'first', 'determine', 'a', 'know', 'state', 'of', 'all', 'the', 'heating', 'and', 'parameter', 'valid', 'a', 'for', 'the', 'rule', 'outline', 'in', 'section', '3.1.4.1', 'and', '3.1.4.2', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['no', 'with', 'monitor', 'ﬁeld', ',', 'be', 'the', 'acquisition', 'of', 'astronomical', 'datum', 'in', 'digital', 'software', 'form', 'the', 'most', 'efﬁcient', 'way', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['a', 'Controls', 'Test', 'Plan', 'be', 'part', 'of', 'the', '.', 'Gemini', 'System', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
['UT'],[0]
"['temperature', 'that', 'exceed', 'the', 'overtemperature', 'limit', 'for', 'shall', 'report', 'as', 'such', '.']","[3, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0]"
"['only', 'when', 'the', 'to', 'fire', 'be', 'query', 'a', 'should', 'detail', 'further', 'its', 'view', 'to', 'record', 'particular', 'a', 'on', 'click', 'user', 'the', 'AJAX', 'of', 'Use', 'datum', 'of', 'transmission', 'secure', 'ensure', 'should', 'system', 'over']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['(', 'o']","[0, 0]"
"['this', '.', 'the', 'telescope', 'of', 'control', 'direct', 'of', 'capability', 'the', 'have', 'may', ',', 'observer', 'the', 'restrict', 'to', 'not', 'send', 'to', 'able', 'be', 'not', 'shall']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['it', 'be', 'also', 'necessary', 'to', 'meet', 'different', 'grade', 'of', 'requirement', 'performance', 'high', 'the', 'typically', 'over', 'local', 'area', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0]"
"['Direct', 'Mode', 'be', 'optional', 'MT', 'station', 'dependent', 'MMI', 'i', ')', 'a', ')', 'GSM', 'Mobile', 'Termination', '(', 'GSM', '-', 'MT', '):', 'comprise', 'GSM', 'mobile', '(', ':', 'element', 'follow', 'EIRENE', 'MS', ')', 'be', 'show', 'in', 'figure', 'equipment', '4', '1', '.']","[3, 4, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
"['as', 'control', 'shall', 'allow', 'simultaneous', 'operation', 'of', 'up', 'to', 'six', 'software', '.', 'node', 'monitoring', ',', 'locally', 'or', 'remotely', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 3, 0, 3, 0]"
"['the', 'Gemini', '8', 'm', 'Telescopes', 'and', 'as', 'operation', 'parallel', 'advantage', 'of', 'parallel', 'operation', 'to', 'improve', 'efﬁciency', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['(', '.', 'document', 'this', 'of', '1', 'section', 'M', 'in', 'the', 'industrial', '2', '-', '3', ',', '1', '-', '3', ',', '2', ',', '1', 'part', '50121', 'ENV', '[', 'and', '5', ']', 'shall', 'frequency', 'GSM', 'the', 'in', 'emission', 'em', 'generate', 'in', 'will', 'EIRENE', ')', 'M']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0]"
"['the', 'on', 'the', 'distance', 'to', 'the', 'danger', 'point', '(', 'if', 'calculate', 'on', '-', 'board', ')', '.', 'be', 'shall', 'be', 'no', 'ETCS', 'shall', 'be', 'give', 'to', 'enable', 'from', 'the', 'to', 'react', 'and', 'avoid', 'intervention', '.', 'driver', 'intervention', 'possible', 'about', 'a', 'way', 'that', 'be', 'understandable', 'and', 'logical', '.']","[0, 0, 0, 3, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['(', 'i', ')', 'station', 'the', 'comprise', 'the', 'follow', 'element', ':', '(', 'i', 'system', 'figure', '(', ')', 'BSS', 'via', 'the', 'GSM', ""'"", 'A', ""'"", 'interface', '.']","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0]"
"['(', 'i', ')', 'for', 'network', 'planning', ',', '.', 'the', 'level', 'be', 'define', 'as', 'the', 'field', 'strength', 'coverage', '515', ']', 'ERTMS', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 4, 3, 0, 0, 0, 0]"
"['by', '.', 'in', 'aid', 'should']","[0, 0, 0, 0, 0]"
"['the', 'create', 'unique', 'number', 'be', 'then', 'number', 'print', 'in', 'the', 'form', 'of', 'bar', '-', 'code', ',', 'which', 'will', 'complement', '(', 'or', 'out', 'identification', 'unique', 'with', 'be', 'sub', '-', 'divide', 'into', 'six', 'module', 'and', 'again', 'the', 'each', 'module', 'be', 'subdivide', 'into', 'different', 'subsystem', '.']","[0, 0, 3, 4, 0, 0, 4, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
"['train', '(', 'Transmission', 'Module', '):', 'Track', 'to', 'train', 'Specific', '.', 'trackside', 'therefore', '3', ':', 'same', 'as', 'level', '2', 'except', 'that', 'train', 'integrity', 'be', 'provide', 'by', 'onboard', 'and', ';', 'ERTMS', '/', 'ETCS', ',', 'the', 'brake', 'can', 'be', 'release', 'afterwards', 'ETCS', 'be', 'compatible', 'with', 'exist', 'national', 'system', 'shall', 'acknowledge', 'driver', 'the', 'the', 'driver', 'do', 'not', 'acknowledge', 'after', 'the', 'transition', 'the', 'brake', 'shall', 'be', 'apply', '.']","[1, 0, 0, 0, 0, 3, 4, 4, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 3, 4, 4, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
