tokens,tags
"['The', 'non', '', 'functional', 'requirements', 'specify', 'the', 'qualitative', 'attributes', 'such', 'as', 'user', '', 'friendliness', 'and', 'performance', 'of', 'the', 'system', 'that', 'are', 'critical', 'for', 'the', 'increased', 'user', '', 'acceptance', 'of', 'the', 'application', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'solution', 'should', 'provide', 'detailed', 'context', '', 'sensitive', 'help', 'material', 'for', 'all', 'the', 'possible', 'actions', 'and', 'scenarios', 'on', 'all', 'user', 'interfaces', 'in', 'the', 'application', '.']","[0, 0, 0, 3, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'solution', 'should', 'provide', 'an', 'interface', 'for', 'the', 'user', 'to', 'log', 'any', 'defects', 'or', 'enhancement', 'requests', 'on', 'the', 'application', 'and', 'track', 'thereafter', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'solution', 'should', 'send', 'alerts', '(', 'e.g.', ',', 'email', ',', 'SMS', ')', 'to', 'the', 'user', 'if', 'the', 'user', 'chooses', 'to', 'whenever', 'any', 'action', 'has', 'been', 'taken', 'on', 'the', 'alert', '.']","[0, 1, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'solution', 'should', 'enable', 'the', 'user', 'to', 'track', 'the', 'submitted', 'defect', 'or', 'enhancement', 'request', '.']","[0, 0, 0, 0, 0, 1, 0, 3, 4, 4, 4, 4, 4, 4, 0]"
"['The', 'solution', 'should', 'enable', 'the', 'help', '', 'desk', 'user', 'to', 'view', 'the', 'reports', 'on', 'the', 'submitted', 'defects', 'or', 'enhancement', 'requests', 'category', '', 'wise', ',', 'status', '', 'wise', ',', 'and', 'age', 'wise', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'support', 'solution', 'should', 'be', 'accessible', 'to', 'the', 'users', 'both', 'from', 'within', 'the', 'application', 'and', 'also', 'outside', 'the', 'application', 'through', 'a', 'browser', 'interface', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Once', 'the', 'audit', 'trail', 'functionality', 'has', 'been', 'activated', ',', 'the', 'System', 'must', 'track', 'events', 'without', 'manual', 'intervention', ',', 'and', 'store', 'in', 'the', 'audit', 'trail', 'information', 'about', 'them', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 4, 4, 4, 4, 0, 0, 3, 4, 4, 4, 4, 0, 0, 0, 0]"
"['The', 'System', 'must', 'maintain', 'the', 'audit', 'trail', 'for', 'as', 'long', 'as', 'required', ',', 'which', 'will', 'be', 'at', 'least', 'for', 'the', 'life', 'of', 'the', 'case', 'to', 'which', 'it', 'refers', '.']","[0, 1, 0, 3, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'System', 'must', 'ensure', 'that', 'audit', 'trail', 'data', 'is', 'available', 'for', 'inspection', 'on', 'request', ',', 'so', 'that', 'a', 'specific', 'event', 'can', 'be', 'identified', 'and', 'all', 'related', 'data', 'made', 'accessible', ',', 'and', 'that', 'this', 'can', 'be', 'achieved', 'by', 'authorised', 'external', 'personnel', 'who', 'have', 'little', 'or', 'no', 'familiarity', 'with', 'the', 'system', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'System', 'must', 'be', 'able', 'to', 'export', 'audit', 'trails', 'for', 'specified', 'cases', '(', 'without', 'affecting', 'the', 'audit', 'trail', 'stored', 'by', 'the', 'System', ')', '.', 'This', 'functionality', 'can', 'be', 'used', 'by', 'external', 'auditors', 'who', 'wish', 'to', 'examine', 'or', 'analyse', 'system', 'activity', '.']","[0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 3, 4, 4, 4, 4, 0]"
"['The', 'System', 'must', 'be', 'able', 'to', 'capture', 'and', 'store', 'violations', '(', 'i.e.', 'A', 'user', '’s', 'attempts', 'to', 'access', 'a', 'case', 'to', 'which', 'he', 'is', 'denied', 'access', ')', ',', 'and', '(', 'where', 'violations', 'can', 'validly', 'be', 'attempted', ')', 'attempted', 'violations', ',', 'of', 'access', 'control', 'mechanisms', '.']","[0, 0, 0, 0, 0, 3, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'System', 'must', 'at', 'a', 'minimum', 'be', 'able', 'to', 'provide', 'reports', 'for', 'actions', 'on', 'cases', 'organised', ':', 'By', 'case', ';', 'By', 'user', ';', 'In', 'chronological', 'sequence', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'System', 'should', 'be', 'able', 'to', 'provide', 'reports', 'for', 'actions', 'on', 'cases', 'organised', 'by', 'workstation', 'and', '(', 'where', 'technically', 'appropriate', ')', 'by', 'network', 'address', '.']","[0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'requirements', 'specify', 'the', 'requirements', 'to', 'control', 'the', 'user', 'access', 'to', 'correspondences', ',', 'files', ',', 'and', 'records', 'and', 'various', 'functionalities', 'provided', 'within', 'the', 'system', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0]"
"['The', 'System', 'must', 'allow', 'the', 'user', 'to', 'limit', 'access', 'to', 'cases', 'to', 'specified', 'users', 'or', 'user', 'groups', '.']","[0, 0, 0, 0, 0, 1, 0, 3, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0]"
"['An', 'audit', 'trail', 'is', 'a', 'record', 'of', 'actions', 'taken', 'by', 'either', 'the', 'user', 'or', 'the', 'system', 'triggers', '.', 'This', 'includes', 'actions', 'taken', 'by', 'users', 'or', 'Administrators', ',', 'or', 'actions', 'initiated', 'automatically', 'by', 'the', 'system', 'as', 'a', 'result', 'of', 'system', 'parameters', '.', 'The', 'System', 'must', 'keep', 'an', 'unalterable', 'audit', 'trail', 'capable', 'of', 'automatically', 'capturing', 'and', 'storing', 'information', 'about', ':', 'All', 'the', 'actions', '(', 'create', '/', 'read', '/', 'update', '/', 'delete', ')', 'that', 'are', 'taken', 'upon', 'the', 'critical', 'entities', '(', 'case', ',', 'suspect', ',', 'property', ',', '...', ')', 'in', 'the', 'system', ';', 'The', 'user', 'initiating', 'and', 'or', 'carrying', 'out', 'the', 'action', ';', 'The', 'date', 'and', 'time', 'of', 'the', 'event', ';', 'Administrative', 'parameters', '.', 'The', 'word', '“', 'unalterable', '”', 'is', 'to', 'mean', 'that', 'the', 'audit', 'trail', 'data', 'can', 'not', 'be', 'modified', 'in', 'any', 'way', 'or', 'deleted', 'by', 'any', 'user', ';', 'it', 'may', 'be', 'subject', 'to', 're', '', 'department', 'and', 'copying', 'to', 'removable', 'media', 'if', 'required', ',', 'so', 'long', 'as', 'its', 'contents', 'remain', 'unchanged', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'system', 'should', 'provide', 'for', 'role', '', 'based', 'control', 'for', 'the', 'functionality', 'within', 'the', 'system']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'System', 'must', 'allow', 'a', 'user', 'to', 'be', 'a', 'member', 'of', 'more', 'than', 'one', 'group', '.']","[0, 0, 0, 3, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0]"
"['The', 'System', 'must', 'allow', 'only', 'admin', '', 'users', 'to', 'set', 'up', 'user', 'profiles', 'and', 'allocate', 'users', 'to', 'groups', '.']","[0, 0, 0, 0, 0, 1, 2, 2, 0, 3, 4, 4, 4, 0, 3, 4, 4, 4, 0]"
"['The', 'System', 'should', 'allow', 'a', 'user', 'to', 'stipulate', 'which', 'other', 'users', 'or', 'groups', 'can', 'access', 'cases', '.']","[0, 0, 0, 0, 0, 1, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
"['The', 'System', 'must', 'allow', 'changes', 'to', 'security', 'attributes', 'for', 'groups', 'or', 'users', '(', 'such', 'as', 'access', 'rights', ',', 'security', 'level', ',', 'privileges', ',', 'password', 'allocation', 'and', 'management', ')', 'to', 'be', 'made', 'only', 'by', 'super', '', 'user', '.']","[0, 0, 0, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]"
"['If', 'a', 'user', 'requests', 'access', 'to', ',', 'or', 'searches', 'for', ',', 'a', 'case', 'which', 'he', 'does', 'not', 'have', 'the', 'right', 'to', 'access', ',', 'the', 'System', 'must', 'provide', 'one', 'of', 'the', 'following', 'responses', '(', 'selectable', 'at', 'configuration', 'time', '):', 'display', 'title', 'and', 'metadata', ';', 'display', 'the', 'existence', 'of', 'a', 'case', 'but', 'not', 'its', 'title', 'or', 'other', 'metadata', ';', 'do', 'not', 'display', 'any', 'case', 'information', 'or', 'indicate', 'its', 'existence', 'in', 'any', 'way', '.', 'These', 'options', 'are', 'presented', 'in', 'order', 'of', 'increasing', 'security', '.', 'Note', 'that', 'the', 'requirement', 'in', 'the', 'third', 'option', '(', 'i.e.', 'the', 'most', 'stringent', ')', 'implies', 'that', 'the', 'System', 'must', 'not', 'include', 'such', 'cases', 'in', 'any', 'count', 'of', 'search', 'results', ';', 'this', 'level', 'of', 'security', 'is', 'normally', 'appropriate', 'for', 'cases', 'dealing', 'with', 'matters', 'such', 'as', 'national', 'security', '.']","[0, 0, 1, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['If', 'a', 'user', 'performs', 'a', 'quick', 'or', 'advanced', 'search', ',', 'the', 'System', 'must', 'never', 'include', 'in', 'the', 'search', 'result', 'list', 'any', 'record', 'which', 'the', 'user', 'does', 'not', 'have', 'the', 'right', 'to', 'access', '.']","[0, 0, 1, 0, 0, 3, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['If', 'the', 'System', 'allows', 'users', 'to', 'make', 'unauthorised', 'attempts', 'to', 'access', 'cases', ',', 'it', 'must', 'log', 'these', 'in', 'the', 'audit', 'trail', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Any', 'access', 'to', 'cases', ',', 'and', 'all', 'other', 'activities', 'involving', 'the', 'cases', 'and', 'related', 'documents', 'or', 'data', 'should', 'also', 'need', 'to', 'be', 'stored', 'in', 'the', 'audit', 'trail', 'to', 'ensure', 'legal', 'admissibility', 'and', 'to', 'assist', 'in', 'data', 'recovery', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['All', 'error', 'messages', 'produced', 'by', 'the', 'System', 'must', 'be', 'meaningful', ',', 'so', 'that', 'they', 'can', 'be', 'appropriately', 'acted', 'upon', 'by', 'the', 'users', 'who', 'are', 'likely', 'to', 'see', 'them', '.', 'Ideally', ',', 'each', 'error', 'message', 'will', 'be', 'accompanied', 'by', 'explanatory', 'text', 'and', 'an', 'indication', 'of', 'the', 'action(s', ')', 'which', 'the', 'user', 'can', 'take', 'in', 'response', 'to', 'the', 'error', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'System', 'must', 'employ', 'a', 'single', 'set', 'of', 'user', 'interface', 'rules', ',', 'or', 'a', 'small', 'number', 'of', 'sets', 'to', 'provide', 'a', 'familiar', 'and', 'common', 'look', 'and', 'feel', 'for', 'the', 'application', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'System', 'must', 'be', 'able', 'to', 'display', 'several', 'entities', '(', 'cases', ',', 'suspects', ')', 'simultaneously', '.']","[0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'interfaces', 'must', 'be', 'made', 'customizable', 'or', 'user', '', 'configurable', 'to', 'the', 'extent', 'possible', '.', '(', 'e.g.', ',', 'the', 'displayed', 'columns', 'in', 'the', 'table', ',', 'move', ',', 'resize', ',', 'modify', 'the', 'appearance', ')', '.', 'Such', 'configurations', 'must', 'be', 'saved', 'in', 'the', 'user', 'profile', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'System', 'user', 'interface', 'must', 'be', 'suitable', 'for', 'users', 'with', 'special', 'needs', ';', 'that', 'is', ',', 'compatible', 'with', 'specialist', 'software', 'that', 'may', 'be', 'used', 'and', 'with', 'appropriate', 'interface', 'guidelines']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'System', 'must', 'provide', 'End', 'User', 'and', 'Administrator', 'functions', 'which', 'are', 'easy', 'to', 'use', 'and', 'intuitive', 'throughout', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'System', 'must', 'allow', 'persistent', 'defaults', 'for', 'data', 'entry', 'where', 'desirable', '.', 'These', 'defaults', 'should', 'include', ':', 'user', '', 'definable', 'values', ';', 'values', 'same', 'as', 'previous', 'item', ';', 'values', 'derived', 'from', 'context', ',', 'e.g.', 'date', ',', 'file', 'reference', ',', 'user', 'identifier', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Frequently', '', 'executed', 'System', 'transactions', 'must', 'be', 'designed', 'so', 'that', 'they', 'can', 'be', 'completed', 'with', 'a', 'small', 'number', 'of', 'interactions', '(', 'e.g.', 'mouse', 'clicks', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Where', 'the', 'System', 'employs', 'a', 'graphical', 'user', 'interface', ',', 'it', 'must', 'allow', 'users', 'to', 'customise', 'it', '.', 'Customisation', 'should', 'include', ',', 'but', 'need', 'not', 'be', 'limited', 'to', 'the', 'following', 'changes', ':', 'menu', 'contents', ';', 'layout', 'of', 'screens', ';', 'use', 'of', 'function', 'keys', ';', 'on', '', 'screen', 'colours', ',', 'fonts', 'and', 'font', 'sizes', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
