tokens,IOB_tag
"['.', 'that', 'a', 'an', 'be', 'by', 'sequencer', 'the', 'with', 'execute', '.Normally', ':', 'Requirements']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['command', 'immediate', 'an', 'command', 'train', 'in', 'a', 'particular', 'area', 'or', 'to', 'a', 'specific', 'train', 'it', 'shall', 'be', 'possible', 'to', 'to', 'the', 'train', '.', 'protect', 'against', 'inadvertent', 'operation', '.', 'when']","['O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['application', 'in', ')', 'the', 'audit', 'trail', 'to', 'ensure', 'legal', 'admissibility', 'and', 'the', 'to', 'in', 'data', 'recovery', '.', 'all']","['O', 'O', 'O', 'O', 'B-class', 'I-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['.', 'closed', 'be', 'window', '""', 'finish', '""', 'the']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['themas', 'system', 'be', 'requirement', 'a', 'factor', 'the', '.', 'Appendix']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['.', 'instrument', 'and', 'telescope', 'from', 'datum', 'relevant', 'the', 'all', 'monitor', 'by', 'do', 'supervisor', 'while', 'problem', ',', 'point', '-', 'multi']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-class', 'O', 'O', 'O', 'O', 'O', 'O']"
"['title', 'if', 'trainborne', 'ETCS', 'the', 'option', '3', '.', 'the']","['O', 'O', 'I-class', 'B-class', 'O', 'O', 'O', 'O', 'O']"
"['.', 'information', 'product', 'the', 'process', 'Product', 'Remove', 'initiate', 'to', 'link', 'or', ';', 'button', 'click', 'Person', 'Sales', '""', 'product', 'remove', '""', 'the', 'system', 'prompt', 'the', 'validate', 'system', ';', 'product', 'of', 'list', 'a', 'view', 'or', 'search', 'by', 'product', 'a', 'select', 'to', 'Person', 'Sales', 'link', '.', 'of', ',', ';', 'process', 'logout', 'initiate', 'to', 'link', 'or', 'system', 'button', 'click', 'Person', 'Sales', '""', 'Logout', '""', 'to', 'the', 'link', 'terminate', 'session', 'system', 'the', 'of', 'out', 'log', 'be', 'Person', 'the', 'Sales', '.', 'page', 'home', 'display', 'system', ';', 'cookie', 'the']","['O', 'I-class', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-class', 'B-class', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'I-class', 'B-class', 'O', 'O', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-class', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-class', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['.', 'information', '(', 'e.g.', ',', 'container', '.', 'sample', '/', 'specimen', 'of', 'shipment', 'batch', 'with', 'manifest', 'person', 'shipping', 'and', ',', ')', 'preservative', ',', 'condition', 'storage', ',', 'type', 'the', 'the', ',', 'the', 'information', 'provide', 'also', 'may', 'log', 'activity']","['O', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'B-class', 'O', 'I-class', 'B-class', 'O', 'I-attr', 'I-class', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-attr', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'I-class', 'B-class']"
"['document', 'should', 'have', 'the', 'follow', 'information', '.', 'information', 'VSP']","['B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr']"
"['this', 'project', ',', 'the', 'only', 'require', 'IOC', '-', 'base', 'Internals', 'work', 'be', 'the', 'other', 'creation', 'the', ';', 'make', 'of', 'both', 'Tcl', '/', 'TK', 'and', 'IDL', 'be', 'to', 'high', '-', 'level', 'sequence', 'and', 'datum', 'reduction', '.', 'support', 'be', 'use', 'heavy']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['be', 'anticipate', 'that', 'all', '/', 'record', 'of', 'creation', 'control', 'system', 'work', 'package', '.', 'in']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['risk', 'exposure', 'patient', 'receive', 'countermeasure', '.', 'mapping']","['O', 'O', 'I-attr', 'I-attr', 'I-attr', 'O', 'O']"
"['of', 'claim', 'available', '.', 'the']","['I-attr', 'I-attr', 'I-attr', 'O', 'O']"
"['Parameters', 'H', '/', 'c', 'request', 'the', 't', 'this', 'will', '.', 'cool', 'unit', 'be', 'already', 'run', ',', 'the', 'request', 'will', 'be', 'add', 'to', 'a', 'or', 'lifo', '.', 'if']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'I-attr', 'B-class', 'O', 'O']"
"['speed', 'shall', 'still', 'be', 'show', 'on', 'the', 'DMI', '.', 'a']","['I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O']"
"['.', 'questionnaire', 'by', '.', 'support', 'be', 'should', 'investigation', 'Case']","['O', 'I-class', 'O', 'O', 'O', 'O', 'O', 'I-class', 'B-class']"
"['plan', 'downtime', 'for', 'the', 'three', 'System', 'not', 'exceed', '<', 'xx', '>', 'hour', 'per', '<', 'must', 'advanced', 'function', 'if', 'exceed', '<', 'xx', 'hour', '/', 'minute', '>', 'per', 'not', '<', 'three', 'month', 'period', '>', '.', 'the']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['onboard', 'equipment', 'shall', 'display', 'plain', 'text', 'message', 'as', 'receive', '.', 'the']","['B-class', 'I-class', 'O', 'O', 'B-class', 'I-class', 'I-class', 'O', 'O', 'O', 'O']"
"['product', 'Person', 'Sales', 'the', 'prompt', 'system', ';', 'process', 'to', 'product', 'initiate', 'to', 'link', 'or', 'button', 'the', 'click', 'Add', 'Person', 'fill', 'product', 'image', 'product', 'a', 'upload', ',', 'price', 'product', 'out', ',', 'product', ',', 'd', 'i', 'product', ',', 'name', 'description', 'Sales', '""', 'product', 'to', 'able', 'be', 'must', 'Person', 'Sales']","['B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-class', 'O', 'B-attr', 'I-attr', 'B-attr', 'O', 'O', 'O', 'I-attr', 'B-attr', 'O', 'O', 'B-attr', 'O', 'I-attr', 'I-attr', 'B-attr', 'O', 'I-attr', 'I-attr', 'B-class', 'O', 'B-class', 'O', 'O', 'O', 'O', 'I-class', 'B-class']"
"['i', ')', 'the', 'system', 'be', 'base', 'on', 'the', 'GSM', 'architecture', 'which', 'the', 'with', 'compatible', '-', ')', 'late', 'release', 'of', 'these', 'specification', 'may', '(']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['.', 'history', 'work', 'and', 'occupation', 'as', 'such', ',', 'capture', 'be', 'may', 'detail', 'descriptive', 'other']","['O', 'I-attr', 'B-attr', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['subsystem', 'must', 'group', 'error', 'into', 'these', 'category', '.', 'in']","['B-class', 'O', 'O', 'B-class', 'O', 'O', 'B-attr', 'O', 'O']"
"['configuration', ';', ':', 'section', 'separate', 'following', 'infrastructure', 'be', 'provide', ';', 'GSM', 'infrastructure', 'equipment', 'no', 'have', '.', 'the']","['O', 'O', 'O', 'O', 'O', 'O', 'I-class', 'O', 'O', 'O', 'B-class', 'I-class', 'I-class', 'O', 'O', 'O', 'O']"
"['form', 'list', 'not', 'automatically', 'generate', 'the', 'Form', 'the', 'choose', 'while', 'automatically', 'populate', 'should', 'this', '(', 'Date', 'submit', ';', ')', 'digit', '8', '+', 'Suffix', 'as', 'Code', 'Hospital', 'with', 'number', 'claim', 'on', 'the', 'Voucher', 'Slip', 'Road', '/', 'Street', 'than', 'other', ')', 'Town', '/', 'Village', ',', 'all', 'County', 'Sub', ',', 'County', ',', 'District', '-', 'Sub', ',', 'District', ',', '-', 'other', 'detail', 'would', 'the', 'have', 'should', 'system', 'the', 'then', ',', 'record', 'Master', 'in', 'exist', 'not', 'be', 'detail', 'any', 'if', ',', 'record', 'master', 'its', 'the', 'from', 'list', 'Road', ';', '/', '(', 'Voucher', 'the', 'on', 'base', 'reader', 'Code', 'Bar', 'from', 'capture', 'be', 'Slip', 'should', '(', 'Type', 'Patient']","['I-attr', 'B-attr', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-attr', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-attr', 'B-attr', 'O', 'I-attr', 'B-attr', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'B-attr', 'O', 'O', 'O', 'B-attr', 'O', 'B-attr', 'O', 'O', 'B-attr', 'B-attr', 'O', 'B-attr', 'O', 'I-attr', 'I-attr', 'B-attr', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'I-class', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-class', 'B-class', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-attr', 'B-attr']"
"['module', 'send', 'this', 'with', 'command', 'block', 'until', 'information', 'be', 'receive', 'via', 'the', 'indicate', 'be', 'respond', 'to', 'be', 'to', 'initial', 'condition', ';', 'TestRoute', 'a', 'test', 'message', 'be', 'transmit', 'across', 'the', 'route', '.', 'all']","['B-class', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O']"
"['of', 'the', 'ETCS', 'trainborne', 'equipment', 'shall', 'disconnect', 'the', 'ETCS', 'trainborne', 'equipment', 'the', 'national', 'Supervision', 'when', 'driver', 'for', 'confirmation', 'about', 'the', 'occupancy', 'a', 'of', 'track', 'ahead', 'before', 'send', 'a', 'Full', 'the', 'ask', 'to', 'trackside', 'receive', 'through', 'track', '-', 'to', '-', 'train', 'transmission', '.', 'it']","['O', 'O', 'B-class', 'I-class', 'I-class', 'O', 'O', 'O', 'B-class', 'I-class', 'I-class', 'O', 'B-class', 'I-attr', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'B-class', 'O', 'O', 'B-class', 'I-class', 'I-class', 'I-class', 'I-class', 'I-class', 'O', 'O']"
"['be', 'likely', 'that', 'different', 'all', 'user', 'module', '(', 'see', 'above', ')', 'would', 'present', 'different', 'interface', 'to', 'access', 'full', 'package', 'must', 'provide', 'module', 'for', 'the', 'testing', 'and', 'diagnosis', 'of', 'the', 'subsystem', ';', 'all', 'instrumentation', 'control', 'software', 'must', 'provide', 'portion', 'subsystem', 'of', 'functionality', 'Gemini', 'software', 'must', 'be', 'version', 'label', ',', 'both', 'all', 'in', 'and', 'binary', 'form', '.', 'the']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['receive', 'the']","['O', 'O']"
"['.', 'D.Support', ';', 'possible', 'be', 'as', 'or', 'this']","['O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O']"
"['.', 'display', 'board', 'game', 'New']","['O', 'O', 'O', 'O', 'O']"
"['.', 'development', 'parse', ',', 'and', 'that', 'ensure', 'will', 'method', 'security']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['be', 'a', 'domain', 'standard', 'software', 'and', 'this', 'integration', 'be', 'consider', 'part', 'of', 'the', 'Gemini', 'in', 'software', ';', 'all', 'Gemini', 'software', 'be', 'to', 'be', 'develop', 'system', 'involve', 'interface', 'the']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['function', 'user', 'characteristic', ',', 'general', 'constraint', ',', 'and', 'assumption', 'and', 'dependency', 'of', 'the', 'system', ',', 'for', 'available', 'generally', 'Energy', 'Management', 'System', ';', 'tset', 'current', 'temperature', 'setting', ';', 'UT', 'Upper', 'Trigger', 'Value', 'the']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['.', 'profile', 'move', ',', 'resize', ',', 'modify', 'the', 'appearance', ')', '.', 'such']","['O', 'I-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['health', 'care', 'service', 'for', 'std', 'treatment', 'through', ',', 'for', 'the', 'sexually', 'active', 'population', 'of', 'the', 'Mbarara', 'district', ',', ';', ':', ',', 'content', 'measure', 'for', 'monitor', 'the', 'quality', 'have', 'be', 'define', 'in', 'the', 'the', 'PDS', 'the']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['if', 'he', 'want', 'to', ',', 'select', 'be', '""', 'yes', '""', 'if']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['acknowledgement', 'will', 'release', 'the', 'emergency', 'train', 'maximum', 'shall', 'able', 'own', 'train', 'identification', 'to', 'the', 'RBC', 'its', '.', 'train', 'run', 'number', 'shall', 'consist', 'of', 'the']","['B-class', 'O', 'O', 'O', 'B-class', 'B-class', 'O', 'O', 'O', 'O', 'B-attr', 'I-attr', 'O', 'O', 'B-class', 'O', 'O', 'B-attr', 'I-attr', 'I-attr', 'O', 'O', 'O', 'O']"
"['.', 'jurisdiction', 'the', 'within', 'unique', 'be', ')', 'food', ',', ',', 'and', ',', 'chemical', ',', 'biological', 'for', 'test', 'be', 'will', 'that', 'sample', 'of', 'type', 'other', 'and', ',', 'sample', 'environmental', ',', 'radiological', 'water', 'agent', 'these']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'I-class', 'I-class', 'I-class', 'I-class', 'B-class', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'B-attr', 'O', 'O', 'O', 'I-class', 'B-class', 'O', 'I-class', 'O', 'I-class', 'O']"
"['i', ')', 'an', 'entitle', 'controller', 'may', 'Tone', 'Dual', 'of', 'Support', 'in', 'the', 'network', '(', 'dtmf', 'receiver', ')', 'digit', 'be', 'in', '[', '3', 'g', 'ts', '23.014', ',', 'specify', ')', 'Fu(n', ';', 'the', 'UIC', 'frequency', 'band', 'the', 'follow', 'convention', 'shall', 'be', 'use', ',', 'where', 'Fl(n', ')', 'be', 'in', 'carrier', 'for']","['O', 'O', 'O', 'B-attr', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'I-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'B-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['.', 'observation', 'ongoing', 'of', 'performance', 'the', 'affect', 'not', 'shall', 'monitoring']","['O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['level', 'the', 'into', 'intrusion', 'though', 'status', 'information', 'should', 'still', 'be', 'provide', 'for', 'use', 'by', 'other', 'system', '.', 'there']","['I-attr', 'O', 'O', 'O', 'O', 'B-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O']"
"['.', 'system', 'the', 'into', 'log', 'be', 'the', 'Customer', '.', ')', 'Scenario', 'Basic', '(', '1', 'Step', 'the']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['.', 'execution', 'later', 'for', 'queue', 'a', 'to', 'interface', 'User', 'the', 'via', 'submit', 'be', 'will', 'complicated', 'very', 'with', 'be', 'can', 'unit', 'faulty', 'a', 'if', 'see', 'to', 'declare', 'e.g.', 'unit', 'such', 'on', 'perform', 'test', 'of', 'result', 'the', '(', 'as', 'operational', 'again', ':', 'staff', 'be', 'maintenance', 'and', 'development', 'Software', 'Definition']","['O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['report', 'shall', 'between', 'series', 'this']","['B-class', 'O', 'O', 'O', 'O']"
"['XS', 'shall', 'deliver', 'inter', '-', 'related', 'component', 'show', 'train', 'dcd', '.', '(', 'i.e.', 'DTD', ',', 'dcd', 'etc', '.', 'Spec', ')', 'Sample', 'of', 'XML', 'document', 'of', 'the', 'tag', ',', 'XML', ',', 'Specification', 'be', 'part', 'of', 'the', 'Information', 'Resource', 'Submittal', 'Package', 'contain', 'the', 'follow', 'Information', 'Resource', 'artifact', ':', 'XML', 'Tag', 'to', 'be', 'submit', '.', 'line', 'interactive', 'process', ';', 'Submit', 'metadata', 'by', 'a', 'off', '-', 'line', 'and', 'interactive', 'batch', 'process', ';', 'Parse', '-', 'form', 'on', 'by', 'the']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-attr', 'O', 'B-attr', 'I-attr', 'I-attr', 'I-attr', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'I-attr', 'O', 'O', 'O', 'O', 'B-class', 'I-class', 'I-class', 'I-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O']"
"['.', 'patch', 'and', 'fix', 'for', 'updatable', 'easily', 'be', 'shall', 'system', 'the']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['the', 'use', 'of', 'key', 'cost', 'board', 'any', 'number', 'entry', 'to', 'have', 'a', 'fast', 'transaction', 'data', 'entry', 'for', 'menu', 'medicine', 'selection', 'minimize', 'data', 'entry', 'error', '.', 'the']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['constraint', 'be', ':', 'computer', 'use', 'at', 'the', 'Gemini', '8', 'm', 'Telescopes', 'site', ',', 'particularly', 'in', 'the', 'test', 'phase', 'for', '.', 'the', '8', '8', 'm', 'Telescopes', 'software', 'environment', '(', 'operating', 'system', 'Gemini', ',', '8', 'm', 'Telescopes', 'software', ')', 'and', 'provide', 'compatibility', 'Gemini', 'the', 'run', 'to', 'm', 'Telescopes', 'site', '(', 'see', 'also', '[', 'EDS', ']', 'in', 'Section', '1.3', ')', ';', 'computer', 'hardware', 'must', 'be', 'able', 'Gemini', 'software', 'the', 'of', ';', 'the', 'hardware', 'choose', 'as', 'the', 'standard', 'at', 'project', 'this', 'of', 'time', 'may', 'be', 'no', 'long', 'available', 'at', 'point', 'the', 'beneﬁt', 'could', 'that', ':', 'during', 'the', 'next', '5', 'to', '10', 'year', 'new', 'hardware', 'will', 'be', 'available', 'with', 'feature', 'and', 'cost', 'that', 'some', 'point', 'in', 'the', 'hardware', 'standard', '.', 'these']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'I-class', 'O', 'B-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['equip', 'for', 'ERTMS', '/', 'ETCS', 'application', 'level', '3', 'shall', 'be', 'able', 'to', 'run', 'on', 'line', 'for', 'by', 'information', 'information', 'via', 'continuous', 'transmission', 'medium', ',', 'track', 'i.e.', '.', 'the']","['O', 'O', 'B-attr', 'I-attr', 'I-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'I-attr', 'I-attr', 'O', 'B-class', 'I-class', 'I-class', 'O', 'I-attr', 'O', 'O', 'O']"
"['link', '.', 'reside', 'office', 'facility', 'Mauna', 'facility', 'the', 'be', 'this']","['O', 'O', 'O', 'B-class', 'O', 'O', 'B-class', 'O', 'O', 'O']"
"['.', 'unit', 'mesure', 'the', 'be', 'x', 'let']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
